PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,,,
LS1_CA02:CAV3_D1176:PHA_RD,PHA,PHASE,readback,46,0.24,LS1_CA02:CAV3_D1176,5.3064205,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV3_D1176:AMPL_CSET,AMP,AMPLITUDE,setpoint,46,0.24,LS1_CA02:CAV3_D1176,5.3064205,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV3_D1176:AMPL_RSET,AMP,AMPLITUDE,readset,46,0.24,LS1_CA02:CAV3_D1176,5.3064205,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV3_D1176:AMPL_RD,AMP,AMPLITUDE,readback,46,0.24,LS1_CA02:CAV3_D1176,5.3064205,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:BPM_D1177:X_RD,X,XPOS,readback,49,0,LS1_CA02:BPM_D1177,5.374612,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:BPM_D1177:Y_RD,Y,YPOS,readback,49,0,LS1_CA02:BPM_D1177,5.374612,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:BPM_D1177:PHA_RD,PHA,PHASE,readback,49,0,LS1_CA02:BPM_D1177,5.374612,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:BPM_D1177:ENG_RD,ENG,ENERGY,readback,49,0,LS1_CA02:BPM_D1177,5.374612,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:SOL2_D1180:I_CSET,I,B,setpoint,52,0.2,LS1_CA02:SOL2_D1180,5.7336985,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:SOL2_D1180:I_RSET,I,B,readset,52,0.2,LS1_CA02:SOL2_D1180,5.7336985,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:SOL2_D1180:I_RD,I,B,readback,52,0.2,LS1_CA02:SOL2_D1180,5.7336985,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCH_D1180:I_CSET,I,ANG,setpoint,52,0,LS1_CA02:DCH_D1180,5.6336985,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCH_D1180:I_RSET,I,ANG,readset,52,0,LS1_CA02:DCH_D1180,5.6336985,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCH_D1180:I_RD,I,ANG,readback,52,0,LS1_CA02:DCH_D1180,5.6336985,HCOR,LIVE,horiz. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCV_D1180:I_CSET,I,ANG,setpoint,52,0,LS1_CA02:DCV_D1180,5.6336985,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
